Unnamed: 0,Click column heading for variable definition,Unnamed: 2,Exemption/Credit,Unnamed: 4,Age,Income Ceiling,Veteran Status,Other Criteria,Disability,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Benefits Continue for Surviving Spouses,Age for Spouse,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 23,Unnamed: 24,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 27,Unnamed: 28
RI,Gold Start Parents Property Tax Exemption Program,Other,3000,$ Exemption,,,Other,X,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,One time,,Both,,R108(e),,Parents of servicemen killed in duty are eligible.,
RI,Veterans Property Tax Exemption Program,Veterans,1000,$ Exemption,,,All,,,,,,,,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,,Inc.,,RI108(a),,,
RI,Disabled Veterans Property Tax Exemption Program,Veterans,10000,$ Exemption,,,Disabled Vet,,X,,,,,X,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,,Both,,RI108(b),,,Veterans who are totally disabled as a result of service and are awarded specially adapted housing assistance are eligible.
RI,Permanently Disabled Veterans Property Tax Exemption,Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,X,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,,Both,,RI108(c),,,Veterans who are permanently disabled as a result of service and own homesteads acquired or modified with a specially adapted housing grant are eligible.
RI,POW Property Tax Exemption Program,Veterans,15000,$ Exemption,,,Other,,,,,,,X,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,,Both,,RI108(d),,Veterans who have been prisoners of war are eligible.,
RI,Visually Impaired Exemption Program,Disabled,6000,$ Exemption,,,,,,,X,,,,,,,Local,Prop Tax Exempt.,Local Option,One time,,Inc.,,RI109,,,
SC,Homestead Exemption for Paraplegic Persons,Disabled,1,% Exemption,,,,,,,,,,X,Yes,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,SC101,,Up to one acre of land is eligible.,"Paraplegic or hemiplegic is defined as a person who has paralysis of one lateral half of the body resulting from injury to the motor centers of the brain. Those with Parkinson's Disease, Multiple Sclerosis, or Amyotrophic Lateral Sclerosis (ALS) who have the same ambulatory difficulties as a person with paraparesis or hemiparesis are included."
SC,Exemption for Disabled Veterans,Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,SC102(a),SC102(b),,
SC,Exemption for Former Police/Firefighters,Other,1,% Exemption,,,,X,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,SC102(b),SC102(a),,"Applicant must be a former police officers or fire fighter with a permanent service-connected disability, or their surviving spouse."
SC,Homestead Exemption for Senior Citizens,Seniors,50000,$ Exemption,65,,,,,,,,,,Yes,,,State,Prop Tax Exempt.,Unspecified,One time,,,,SC103(a),SC103(b),,
SC,Homestead Exemption for Blind or Disabled Persons,Disabled,50000,$ Exemption,,,,,X,,X,,,,Yes,,,State,Prop Tax Exempt.,Unspecified,One time,,,,SC103(b),SC103(a),,
SC,School Property Tax Exemption for All Homeowners,General,1,% Exemption,,,,X,,,,,,,,,School,State,Prop Tax Exempt.,,,,,,SC104,,The benefit is an exemption from school taxes for operating costs and does not include taxes levied to retire general debt.,Benefit applies to residential property and privately owned agricultural property. No application is required.
SD,Property Tax Exemption for Paraplegic Veterans,Veterans,1,% Exemption,,,Disabled Vet,,,,,X,X,,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Nov 1,Annual,,,,SD102(a),,,
SD,Property Tax Exemption for Totally Disabled Veterans,Veterans,100000,$ Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Nov 1,One time,,,,SD102(b),,,
TN,Property Tax Relief for the Elderly,Seniors,27600,$ Exemption,65,29270,,,,,,,,,, ,,State,Rebate Check,Other,Annual,,Inc.,,TN101(a),TN101(b),Claim must be submitted at least 35 days before taxes become delinquent.,
TN,Property Tax Relief for the Disabled,Disabled,27600,$ Exemption,,29270,,,X,,,,,,,,,State,Rebate Check,Other,Annual,,Inc.,,TN101(b),TN101(a),Claim must be submitted at least 35 days before taxes become delinquent.,
TN,Property Tax Relief for Disabled Veterans,Veterans,175000,$ Exemption,,,Disabled Vet,X,X,,X,X,X,,Yes,,,State,Rebate Check,Other,Annual,,,,TN102,"TN101 (a,b)",Claim must be submitted at least 35 days before taxes become delinquent.,"Applicants who relocate to a health care facility or nursing home, or in the care of a friend or relative, will continue to qualify for this program. "
TX,"Homestead Exemption (School taxes, General exempt.)",General,25000,$ Exemption,,,,,,,,,,,,,School,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX101(a),"TX101(b,c)",,
TX,"Homestead Exemption (School taxes, Seniors)",Seniors,35000,$ Exemption,65,,,,,,,,,,Yes,55,School,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX101(b),"TX101(a,c)",This exemption is applied after the senior tax freeze (TX102).,
TX,"Homestead Exemption (School taxes, Disabled)",Disabled,35000,$ Exemption,,,,,,,,,,X,,,School,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX101(c),"TX101(a,b)",,"Applicants must be either 1) unable to engage in gainful work because of physical or mental disability, 55 years old and blind and unable to engage in previous work due to blindness, or 3) receive Social Security disability benefits."
TX,Homestead Exemption (County special taxes),General,3000,$ Exemption,,,,,,,,,,,,,Other,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,Inc.,,TX101(d),,Exemption is for county special taxes for farm-to-market roads or flood control. Localities may increase the exemption for the elderly or disabled.,
TX,Disabled Veterans Exemption (Partially disabled),Veterans,,Tied to Disability,,,Disabled Vet,,,0.1,,,,,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(a),TX103(b-d),"Four exemption levels based on disability rating from VA: 10-30% ($5,000 exemption), 31-50% ($7,500), 51-70% ($10,000), 71-99% ($12,000).",
TX,Disabled Veterans Exemption (Totally disabled),Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(b),"TX103(a,c,d)",,
TX,Disabled Veterans Exemption (Seniors),Veterans,12000,$ Exemption,65,,Disabled Vet,,,0.1,X,X,,,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(c),"TX103(a,b,d)",,
TX,Disabled Veterans Exemption (Surviving spouse),Veterans,5000,$ Exemption,,,Spouse Killed,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(d),TX103(a-c),,Children under 18 of a veteran killed in duty are also eligible for this exemption.
TX,Exemption for Donated Homestead of Disabled Veteran,Veterans,,Tied to Disability,,,Disabled Vet,X,,,,,,X,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(e),,The benefit is an exemption from appraised value equal to the percentage of the veteran's disability.,Partially disabled veterans are eligible if their home was donated by a charitable organization at no cost or up to half of the home's market value.
TX,100 Percent Disabled Veterans Exemption,Veterans,1,% Exemption,,,Disabled Vet,X,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX105,,,
UT,Primary Residential Property Exemption,General,0.45,% Exemption,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local option,,,,UT101,,,
UT,Veterans Disability Exemption (Totally disabled),Veterans,473400,$ Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,By Sep 1,One time,,,,UT103(a),"UT103(b,c)",,Surviving minor children are eligible to receive benefits of deceased disabled veteran.
UT,Veterans Disability Exemption (Partially disabled),Veterans,,Tied to Disability,,,Disabled Vet,,,0.1,,,,,Yes,,,Local,Prop Tax Exempt.,By Sep 1,One time,,,,UT103(b),"UT103(a,c)","Exemption amount equals the vet's disability rating multiplied by the adjusted taxable value limit for a veteran ($260,370 in 2018). There is a 55% assessment ratio for residential property in UT, so market value of exemption equals the vet's disability rating multiplied by $473,400.",Surviving minor children are eligible to receive benefits of deceased disabled veteran.
UT,Veterans Disability Exemption (Surviving Spouse),Veterans,1,% Exemption,,,Spouse Killed,,,,,,,,,,,Local,Prop Tax Exempt.,By Sep 1,One time,,,,UT103(c),"UT103(a,b)",,Exemption is also available for surviving minor children of veteran killed in duty and spouses of veterans who died as a result of service-connected injuries.
UT,Blind Exemption,Disabled,20909.0909090909,$ Exemption,,,,,,,X,,,,Yes,,,Local,Prop Tax Exempt.,By Sep 1,Annual,,,,UT104,,,Surviving minor orphans are eligible if their parent was blind and previously received this benefit.
UT,Homeowner Valuation Reduction,Seniors,0.2,% Exemption,66,33530,,X,,,,,,,Yes,,,Local,Prop Tax Credit,Other,Other,,,,UT106,,The additional tax relief is granted to qualifying taxpayers who have applied for the Homeowner's credit circuit breaker.,
UT,Active Duty Armed Forces Exemption,Veterans,1,% Exemption,,,Other,X,,,,,,,,,,Local,Prop Tax Exempt.,By Sep 1,Annual,,,,UT107(a),,Includes up to a maximum of 1 acre of land. ,"Applicants must have been on active duty or reserve duty outside the state for 200 days in a calendar year, or 200 consecutive days in the year before the application is filed. "
UT,Active Duty Exemption (Surviving Spouse),Veterans,1,% Exemption,,,Spouse Killed,,,,,,,,,,,Local,Prop Tax Exempt.,By Sep 1,Annual,,,,UT107(b),,Includes up to a maximum of 1 acre of land. ,
VA,Exemption for Disabled Veterans,Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,by April 15,One time,,Inc.,,VA103,,"If property has multiple owners besides the claimant's spouse, the benefit is based on percentage of ownership. Localities may opt to exempt more than one acre of land. Eligibility must be recertified annually. ","Suriving spouses of veterans who died on or after Jan 1, 2011 are eligible. Residents of hospitals or long term care facilities remain eligible."
VA,Exempt. for Spouses of Armed Forces Killed in Action,Veterans,1,% Exemption,,,Spouse Killed,,,,,,,,,,,Local,Prop Tax Exempt.,by April 15,One time,,Inc.,,VA104,,The maximum dollar amount for an exemption is the county's average assessed value for single family residences. Localities may opt to exempt more than one acre of land. ,Residents of long-term care facilities are eligible.
VT,Veterans' Property Tax Exemption,Veterans,10000,$ Exemption,,,Disabled Vet,,,0.5,,,,,Yes,,,Local,Prop Tax Exempt.,By May 1,Annual,,Inc.,,VT104,,"Surviving spouses, totally and permanently disabled veterans, veterans with a permanent medical retirement, and veterans with a disability compensation rating of 50% or higher for 10 consecutive years must only apply one time.",Children of qualifying veteran are eligible if they are receiving dependent and survivor benefits.
WI,School Property Tax Credit for Renters/Homeowners,General,0.12,% Credit,,,,,,,,,,,,,,State,Income Tax Credit,On inc. tax return,Annual,,,,WI103,,The max credit is $300 (married filers) or $150 (single filers).,
WI,Homeowner Property Tax Relief (Lottery Credit),General,17000,$ Exemption,,,,,,,,,,,,,School,State,Prop Tax Credit,Jan 1 - Jan 31,Annual,,,,WI104,,,
WI,First Dollar Credit,General,6800,$ Exemption,,,,,,,,,,,,,School,State,Prop Tax Credit,,,,,,WI105,,,
WI,School Levy Tax Credit,General,,Other,,,,,,,,,,,,,School,State,Prop Tax Credit,,,,,,WI106,,The exemption varies by municipality. Each municipality's credit is calculated by multiplying the ratio of municipal school levies to statewide school levies by total state funding. The credit for individual properties is based on assessed value as a percent of total municipal assessed value. ,
WI,Disabled Veteran and Surviving Spouse Tax Credit,Veterans,1,% Credit,,,,X,X,,,,,,Yes,,,State,Income Tax Credit,,One time,,,,WI107,,,Applicant must have been a resident of WI for at least five years prior to service.
WV,Senior Citizens' Homestead Property Tax Exemption,Seniors,33333.3333333333,$ Exemption,65,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Jul 1 - Oct 1,One time,,,,WV101(a),WV101(b),,Applicant must have resided in state for at least two years.
WV,Disabled Homestead Property Tax Exemption,Disabled,33333.3333333333,$ Exemption,,,,X,X,,,,,,,,,Local,Prop Tax Exempt.,July 1 - Oct 1,One time,,,,WV101(b),WV101(a),,Applicant must have resided in state for at least two years. 
WV,Senior Citizens' Tax Credit (Low income),Seniors,33333.3333333333,$ Exemption,65,24690,,,,,,,,,,,,State,Income Tax Credit,By Apr 15,Annual ,,,,WV102,WV101,,"Income ceiling depends on household size: 1 person ($18,090), 2 ($24,360), 3 ($30,630), 4 ($36,900), 5 ($43,170), 6 ($49,440), 7 ($55,710), 8 ($61,800). Income ceilings are equal to 150% of federal poverty guidelines for 2017 (Source: HHS)."
WY,Property Tax Refund for Low Income Homeowners,Other,0.5,% Credit,,46778,,X,,,,,,,,,,State,Rebate Check,By Jun 3,Annual,,,,WY102,,"The rebate equals the lesser of 50% of the applicant's 2018 property tax liability or 50% of the median property tax liability in their county, and may be prorated depending on available state funds. Wyoming's FY20 budget appropriated $650,000 for this program in 2019; it had not been funded since 2016.","Applicant must have resided in the state for the past five years. Applicant's income cannot exceed three-quarters of the median household income for the state or county where they reside, whichever is higher (3/4 of statewide median income was $46,778). The applicant's total household assets cannot exceed $120,339 per adult member of the household, excluding the value of their home, retirement accounts, and one car per adult."
WY,Exemption for Veterans,Veterans,31578.9473684211,$ Exemption,,,Warzone,,,,,,,,Yes,,,State,Prop Tax Exempt.,By May 22,Annual,,,,WY105,,,Applicant must have lived in the state 3 years. Veterans who served in a warzone and disabled veterans are eligible for this exemption.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Option Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,Local Option Exemption for Special Assessments,General,,Local Option,,,,,,,,,,,,,Special assessment,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,AK106,,"Max benefit $20,000 per residence",
CO,Local Option Property Tax Work-Off Program,Other,,Other,60,,,X,,,,,,X,,,,Local,Rebate Check,Local Option,Local Option,Yes,,Dec.,CO104,,This programs allows localities to offer eligible homeowners work in lieu of property tax payment at the federal minimum wage rate up to the total amount of property taxes owed. Benefit reduces taxes for applicant's homestead if it is non-income producing. ,Applicants must be 60+ or disabled. Localities may restrict definition of disability for eligibility.
CT,Local Option Tax Relief for Seniors,Seniors,,Local Option,65,Local Option,,,,,,,,,,,,State,Local Option,Feb 1 - May 15,2 Years,Yes,Both,Both,CT112(a),,"Relief under this program cannot exceed 10% of property value. If the total amount of tax relief provided by this program and other tax relief programs exceeds 75% of the taxes that would be owed without relief, then towns are required to put a lien on the property for the amount of tax relief exceeding 75%.",Municipalities can set their own eligibility criteria and income requirements.
CT,Local Option Tax Relief for Disabled,Disabled,,Local Option,,Local Option,,,X,,,,,,,,,State,Local Option,Feb 1 - May 16,2 Years,Yes,Both,Both,CT112(b),,"Relief under this program cannot exceed 10% of property value. If the total amount of tax relief provided by this program and other tax relief programs exceeds 75% of the taxes that would be owed without relief, then towns are required to put a lien on the property for the amount of tax relief exceeding 75%.",Municipalities can set their own eligibility criteria and income requirements.
CT,Local Option for Firefighters & Emergency Personnel,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,,CT113,,"Municipalities may provide either an exemption of assessed value up to an amount equal to $1 million divided by the mill rate, or an abatement of up to $1,000. Localities may enter into interlocal agreements to provide relief to volunteers who live in one municipality and volunteer in another.","For individuals who volunteer their services such as firefighters, EMTs, paramedic, search and rescue, ambulance drivers. Retired personnel are also eligible if they volunteered their services for at least 25 years."
CT,Local Option for Surv. Spouses of Police/Firefighters,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,,CT114,,"In adopting the program, a municipality may choose full or partial abatement.","Must be a surviving spouse of a police officer, firefighter or EMT who dies while performing duties."
CT,Local Option Exemption for Veterans,Veterans,,Local Option,,21000,Warzone,,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,2 Years,Yes,Both,Both,CT115,,"The exemption provided can be up to $5,000 or an amount up to 5% of assessed value.","This program is for veterans who do not qualify for the standard deduction (CT104) because of their dates of service and who were not injured in service. The income levels may be either the statutory limit for single individuals, $21,000, or an amount established by the municipality, not to exceed this amount by more than $25,000."
DE,Home Exemption for Elderly (Non-municipal taxes),Seniors,,Local Option,65,6000,,X,,,,,,,,,Excl. municipal taxes,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,,DE101,,"Counties determine the amount of the credit, with a max benefit of $5,000. Kent County Levy Court provides up to a 100% exemption to applicants 65 or older or 100% disabled with income up to $22,000 if married ($16,000 if unmarried).","Applicant must have lived in the state for at least three years. Income ceiling is $3,000 if unmarried."
DE,Home Exemption for Elderly (Municipal taxes),Seniors,,Local Option,65,,,,,,,,,,,,Municipal,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,DE102,,,Statute does not prescribe type of exemption (percentage or dollar amount)
DE,Senior School Property Tax Credit,Seniors,0.5,% Credit,65,,,,,,,,,,,,School,State,Prop Tax Credit,By  April 30,Annual,Yes,,,DE103,,The max credit is $500. State will mail rebate checks directly to individuals who qualify for the program.,Applicant must have lived in the state 10 years.
FL,Local Option Exemption for Seniors ($50k Exemption),Seniors,50000,$ Exemption,65,29454,,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,Annual,Yes,,,FL107,,Localities may offer instead of or in addition to FL107(b). The exemption applies only to taxes levied by the unit of government granting the exemption. ,
FL,Local Opt. Exemp. for Seniors w/Long-Time Residency,Seniors,1,% Exemption,65,29454,,X,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,Annual,Yes,,,FL109,,Localities may offer instead of or in addition to FL107(a). The exemption applies only to taxes levied by the unit of government granting the exemption.,"To be eligible for a 100% exemption, the homeowner must have lived in the homestead for at least 25 years, and the value of the property must be less than $250,000 in the first year that the tax owner applies and is eligible for exemption."
GA,Local Option Homestead Exemption,General,,Local Option,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Apr 2,One time,Yes,Both,Both,GA109,,"Counties may enact local homestead exemptions and/or valuation freezes. Exemption may apply to county, school, and/or municipal taxes.",Local governments may set eligibility criteria based on age and income.
HI,Basic Home Exemption,General,,Local Option,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI101,HI102,"Hawaii County exemption is $40,000. Kauai County exemption is $160,000. City and County of Honolulu exemption is $80,000. Maui exemption is $200,000. ",
HI,Homestead Exemption for the Elderly,Seniors,,Local Option,Local Option,,,,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI102,HI101,"In Hawaii County, exemption is $80,000 for claimants age 60-69 and $100,000 for age 70+. In Kauai County, exemption is $180,000 for ages 60-70 and $200,000 for 71 and older. In the City and County of Honolulu, exemption is $120,000 for age 65+. Maui County does not offer an exemption based on age.",Age criteria set locally.
HI,Exemption for Totally Disabled Veterans,Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,,Yes,,Excl. special assess.,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,,Dec.,HI105,,"In Maui County, eligible taxpayers are levied a total property tax of $150 per year.","In Maui County, only unremarried surviving spouses of veterans who died while on active duty are eligible for the benefit. "
HI,Person Affected with Hansen's Disease (Leprosy),Other,,Local Option,,,,,,,,,,X,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI106,,"Benefits vary by county. Max exemption is $25,000 in Maui and Honolulu counties and $50,000 in Kauai and Hawaii counties.",Applicant must have leprosy. Specific criteria vary by county.
HI,Additional Homestead Exemption (Low-Income),Other,,Local Option,,Local Option,,,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI107,,"In Honolulu, benefit ranges from $140,000 to $200,000 based on age. In Kauai County, the exemption is $120,000.",Honolulu and Kauai Counties set income limit at 80% of median household income.
HI,Homestead Exemption for Disabled People,Disabled,,Local Option,,,,Local Option,X,,X,,,X,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI109,,"In Honolulu City and County and and Maui County, the exemption is $25,000. In Kaua'I County and Hawaii County, the exemption is $50,000. ",Eligibilty requirements may vary slightly from county to county.
IL,Local Option Senior Citizen Property Tax Refund,Seniors,,Local Option,65,,,X,,,,,,,,,Municipal,Local,Rebate Check,Local Option,Annual,Yes,Both,,IL106,,,No co-owner may be under 60 years of age.
IL,Long-time Occupant Homestead Exemption (LOHE),Other,,% Exemption,,100000,,X,,,,,,,,,,Local,Prop Tax Exempt.,Calendar Year,Annual,Yes,,,IL112,"IL101, IL102","This program is only for Cook County. This program provides tax relief for homeowners with a large year-over-year increase in assessed values, with tax relief offsetting any taxes due to an increase in A.V. greater than 7% (If income up to $75,000) or greater than 10% (If income $75,001-$100,000).","To qualify for the benefit, the property must be occupied by the claimant for 10 continuous years or 5 continuous years if the person receives assistance to acquire the property as part of a government or non-profit housing program. Qualifying taxpayers must opt in to Alternative General Homestead Exemption in order to apply."
LA,Head of Family Local Option Tax Relief,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Dec.,Both,LA104,,"Maximum exemption is $2,000 assessed value ($20,000 market value).",The homeowner must be head of a family and/or have dependents.
LA,Local Option Home Exemption for Disabled Veterans,Veterans,75000,$ Exemption,,,,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,,,LA105,,,
MA,Work-Off Abatement for Persons Over Age 60 & Vets,Other,,Local Option,60,,,X,,,,,,,Yes,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Dec.,,MA107,,"The max credit is $1,500 for homeowners 60 years or older and $1,000 for disabled veterans. Hourly rate equivalent may not exceed minimum wage. Localities may adopt lower maximum benefits. Cities and towns may reduce the property tax bills of veterans up to a credit of $1,000.",Program allows localities to offer tax abatements to senior citizens and veterans with a service-connected disability who provide volunteer services.
MA,Local Option Exemption for Residential Properties,General,,Local Option,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,,MA111,,"The amount of the exemption may not exceed 35% of the average residential assessed value in the municipality, except by special legislation. Localities may select an exemption that is not income sensitive and is automatically applied before tax bills are sent out. Localities adopting low and moderate income exemption options require annual application.",
MA,Local Option Exemp. from Community Preservation Act,Other,,Local Option,,,,X,,,,,,,,,Other,Local,Prop Tax Exempt.,By Apr 1,Annual,Yes,Both,Both,MA113,,"The benefit is an exemption or partial exemption from the surcharges applied to real property if the city or town has adopted a Community Preservation Plan ordinance. The Community Preservation Act, which must be adopted by a local ballot measure, allows localities to impose a surcharge of up to 3% of the property tax levy to support open space protection, historic preservation, affordable housing, and outdoor recreation. ",Eligibility criteria are determined locally and may be based on ability to qualify for housing assistance.
MD,Credit for Residential Prop. in Airport Noise Zone,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Credit,,,Yes,Both,,MD109,,,Home must be within the 75 LDN noise contour surrounding BWI Airport.
MD,Credit for Disabled Police and Rescue Workers,Other,,Local Option,,,,X,X,,,,,,Yes,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,,MD110,,,"Program is for police officers, rescue workers (fire, EMS), and correctional officers who became totally disabled in the course of their work. In addition to surviving spouses, certain qualifying co-habitants are also eligibible."
MD,Credit on Rentals for Elderly/Disabled Tenants,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Credit,Feb 1 - Sept 1,Annual,Yes,Both,,MD111,,,Program is for owners of rental units that provide reduced rent for elderly (65+) or disabled tenants.
MD,Tax Credit for Elderly with Limited Incomes,Seniors,,Local Option,65,Local Option,,Local Option,,,,,,,,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,Both,MD112,,,Applicants must be 65 and have limited income but other criteria set locally.
MD,Tax Credit for Family Assistance Dwellings,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,,MD113,,,"Must be owner of a family assistance dwelling, defined as: 1) not a vacation home, 2) not homeowner's residence but used for personal purposes for 14 days or 10% of the days during a year in which the unit is rented at a fair rental, and 3) the only residence of a family-member who makes rental payments that are less than 90% of a fair rental price and is entitled to low income assistance benefits under a federal or state program."
MD,Property Tax Credit for Acquired Dwellings,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,Both,MD115,,,Must have owned a home that was acquired by the State for public use and that had previously been eligible for the homestead tax credit.
ME,Municipal Property Tax Assistance (Senior Work Off),Seniors,,Local Option,60,,,,,,,,,X,,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Dec.,Both,ME106,,Maximum benefit is $750.,Program allows localities to offer tax abatements to senior citizens who provide volunteer services. Additional criteria set locally.
ND,Local Option Exemption for New Residential Property,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Dec.,Both,ND105,,"Maximum benefit is $150,000 of full (market) value.",New single-family residential property is eligible for first two taxable years after the construction is completed and the residence is owned and occupied for the first time. Local governing body may limit or impose conditions upon exemptions.
NH,Exemption for Deaf Persons,Disabled,15000,$ Exemption,,20400,,X,,,,,,X,,,,Local,Prop Tax Exempt.,Dec 1 - Apr 15,One time,Yes,Inc.,Inc.,NH101,,The value of property improvements to assist deaf or severly hearing impaired inhabitants can also be deducted from total assessed value of the property each year.,"Applicant must be deaf and have resided in the state for at least five consecutive years. Local government sets asset limit, which must be at least $35,000 and exclude home value. Income ceiling is $13,400 for individuals not married. Property can be owned by the deaf resident's spouse."
NH,Local Option Exemption for Disabled Persons,Disabled,,Local Option,,20400,,X,,,,,,X,,,,Local,Prop Tax Exempt.,Dec 1 - Apr 15,One time,Yes,Both,Inc.,NH102,NH103,,"Applicant must have resided in the state for at least five years . Local government sets asset limit, which must be at least $35,000 and exclude home value. Income ceiling is $13,400 for individuals not married."
NH,Exemption for the Blind with Local Option,Disabled,15000,$ Exemption,,,,,,,X,,,,,,,Local,Prop Tax Exempt.,Dec 1 - Apr 15,One time,Yes,Inc.,Inc.,NH106,,,
NY,Local Option Senior Citizen Homestead Exemption,Seniors,0.5,% Exemption,65,Local Option,,X,,,,,,,Yes,62,,Local,Prop Tax Exempt.,By Mar 1,Annual,Yes,Both,Inc.,NY102,,Some localities may set a different application deadline.,"Applicant must have owned property for at least one year. Localities may set income ceiling between $3,000 and $29,000. Localities using a $29,000 income ceiling may offer exemptions of less than 50% to applicants with incomes over $29,000 but under $37,400 using the ""sliding scale option."" Income limit is $50,000 for NYC."
NY,Local Option Exemption for Person with Disabilities,Disabled,0.5,% Exemption,,Local Option,,,,,,,,X,,,,Local,Prop Tax Exempt.,By Mar 1,Annual,Yes,Inc.,Inc.,NY103,,Some localities may set a different application deadline.,"Localities may set income ceiling between $3,000 and $29,000. Localities using a $29,000 income ceiling may offer exemptions of less than 50% to applicants with incomes over $29,000 but under $37,400 using the ""sliding scale option."""
NY,Alternative Veterans Exemption (War time vet),Veterans,0.15,% Exemption,,,All,,,,,,,X,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,Yes,Both,,NY106(a),,"Local governments choose the maximum dollar amount of the exemption, which can range from $9,000 to $45,000 (or $75,000 for localities with high appreciation). Local application deadline is usually Mar 1.",Only veterans who served during period of war eligible.
NY,Alternative Veterans Exemption (Combat zone),Veterans,0.1,% Exemption,,,Warzone,,,,,,,,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,Yes,Both,,NY106(b),,"This exemption is in addition to the 15% exemption for wartime veterans (NY106a). Local governments choose the maximum dollar amount of the exemption, which can range from $6,000 to $30,000 (or $50,000 for localities with high appreciation). Local application deadline is usually Mar 1.",
